node,x_c,y_c,arc_s,local_spacing_ds,surface
0,1.0,0.0,0.0,9.940275408262086e-05,lower
1,0.999901760371021,-1.5161886995735364e-05,9.940275408262086e-05,0.00019878319987907844,lower
2,0.9996070861937919,-6.064472856157667e-05,0.0003975663997581569,0.00039747717957690497,lower
3,0.9991161115603631,-0.00013643999442737101,0.0008943571132364308,0.0005959927707839871,lower
4,0.9984290598339189,-0.00024253322791952485,0.0015895519413261312,0.0007942409090063531,lower
5,0.9975462434634795,-0.00037890368824686736,0.002482838931249137,0.0009921326856511255,lower
6,0.9964680637245878,-0.0005455238529339233,0.0035738173126283823,0.0011895794003253146,lower
7,0.995195010386091,-0.0007423587836152528,0.004861997731899766,0.0013864926134116518,lower
8,0.9937276613031771,-0.0009693653592931742,0.006346802539451686,0.0015827841989867857,lower
9,0.9920666819368641,-0.001226491382031842,0.008027566129873338,0.0017783663981415045,lower
10,0.9902128248002124,-0.0015136745609017827,0.009903535335734695,0.0019731518727547897,lower
11,0.988166928831593,-0.0018308413808041288,0.011973869875382917,0.0021670537597723496,lower
12,0.9859299186954282,-0.0021779058635816506,0.014237642855279394,0.00235998572602953,lower
13,0.9835028040109193,-0.002554768229565293,0.016693841327441977,0.00255186202365266,lower
14,0.9808866785093783,-0.002961313468403137,0.019341366902584714,0.002742597546063038,lower
15,0.9780827191209104,-0.0033974098286713855,0.022179036419568053,0.0029321078846006442,lower
16,0.9750921849913208,-0.0038629072363701245,0.025205582671786003,0.003120309385770074,lower
17,0.9719164164302817,-0.00435763565295641,0.0284196551911082,0.003307119209102918,lower
18,0.9685568337919493,-0.004881403384061495,0.03181982108999184,0.0034924553856190317,lower
19,0.9650149362894054,-0.00543399535047448,0.035404565962346264,0.0036762368768520175,lower
20,0.9612923007444873,-0.006015171333347869,0.03917229484369587,0.003858383634394027,lower
21,0.9573905802747739,-0.0066246642058912664,0.04312133323113432,0.0040388166598994,lower
22,0.9533115029197036,-0.0072621781640634375,0.04724992816349467,0.0042174580654692935,lower
23,0.9490568702080321,-0.007927386968950468,0.051556249362072905,0.0043942311343254485,lower
24,0.9446285556690557,-0.008619932213625735,0.05603839043214557,0.004569060381663936,lower
25,0.9400285032902694,-0.009339421627326767,0.06069437012540078,0.004741871615561468,lower
26,0.9352587259243631,-0.010085427429752433,0.0655221336632685,0.0049125919977916314,lower
27,0.930321303648696,-0.010857484748181805,0.07051955412098404,0.005081150104388907,lower
28,0.9252183820806312,-0.011655090109944295,0.07568443387204632,0.0052474759857812775,lower
29,0.9199521706523397,-0.012477700022527644,0.0810145060925466,0.00541150122629562,lower
30,0.9145249408489121,-0.01332472965329998,0.08650743632463756,0.005573159002823,lower
31,0.9089390244138297,-0.014195551620442162,0.0921608240981926,0.005732384142411992,lower
32,0.9031968115260546,-0.015089494906241733,0.09797220460946154,0.005889113178546589,lower
33,0.8973007489531798,-0.016005843903390236,0.10393905045528577,0.006043284405847893,lower
34,0.8912533381852586,-0.016943837604353678,0.11005877342115733,0.00619483793292417,lower
35,0.8850571335540778,-0.017902668943255366,0.11632872632113411,0.006343715733086258,lower
36,0.878714740342766,-0.018881484299023546,0.12274620488732985,0.006489861692629634,lower
37,0.8722288128907365,-0.019879383167815727,0.12930844970639338,0.00663322165637889,lower
38,0.8656020526990311,-0.020895418011943084,0.13601264820008763,0.0067737434701863886,lower
39,0.8588372065411777,-0.02192859429168404,0.14285593664676616,0.006911377020065904,lower
40,0.8519370645846974,-0.022977870685499724,0.14983540224021943,0.007046074267648195,lower
41,0.8449044585283632,-0.024042159503253897,0.15694808518206255,0.0071777892816448086,lower
42,0.8377422597602717,-0.025120327296094452,0.16419098080350905,0.007306478265006494,lower
43,0.8304533775417001,-0.02621119566568378,0.17156104171207553,0.0074320995774783405,lower
44,0.8230407572215906,-0.0273135422744727,0.17905517995846573,0.007554613753257805,lower
45,0.8155073784863606,-0.02842610205770272,0.18667026921859114,0.007673983513480476,lower
46,0.8078562536495287,-0.02954756863680106,0.19440314698542668,0.007790173773276218,lower
47,0.8000904259854323,-0.03067659593280634,0.20225061676514358,0.007903151643156497,lower
48,0.792212968111043,-0.03181179997743369,0.21020945027173968,0.00801288642452505,lower
49,0.7842269804195939,-0.03295176091836795,0.21827638961419368,0.008119349599129619,lower
50,0.7761355895694085,-0.03409502521435823,0.22644814946999892,0.008222514812303128,lower
51,0.7679419470309683,-0.035240108014691664,0.23472141923879994,0.008322357849883943,lower
52,0.7596492276948693,-0.03638549571664751,0.2430928651697668,0.008418856608740713,lower
53,0.7512606285429202,-0.03752964869358083,0.25155913245628136,0.008511991060870527,lower
54,0.7427793673841995,-0.03867100418536724,0.26011684729150786,0.008601743211086782,lower
55,0.7342086816574482,-0.03980797934205432,0.26876261887845493,0.008688097048355742,lower
56,0.7255518273007172,-0.040938974410721,0.27749304138821934,0.008771038490897803,lower
57,0.7168120776887053,-0.04206237605474861,0.28630469586025054,0.008850555325218862,lower
58,0.7079927226377544,-0.04317656079395369,0.29519415203865706,0.008926637139286792,lower
59,0.699097067477981,-0.04427989855333612,0.3041579701388241,0.008999275250129724,lower
60,0.6901284321915315,-0.04537075630755212,0.3131927025389165,0.00906846262618105,lower
61,0.6810901506154823,-0.046447501807639416,0.3222948953911862,0.009134193804754914,lower
62,0.6719855697074137,-0.04750850737599919,0.33146109014842634,0.009196464805088067,lower
63,0.6628180488712444,-0.04855215375518374,0.34068782500136235,0.009255273037434675,lower
64,0.6535909593404499,-0.04957683399564779,0.3499716362232957,0.009310617208754035,lower
65,0.6443076836153754,-0.05058095736730091,0.3593090594188704,0.009362497225576027,lower
66,0.634971614950939,-0.05156295327944646,0.36869663067444775,0.009410914094675954,lower
67,0.6255861568906473,-0.052521275193513,0.37813088760822233,0.009455869822225238,lower
68,0.6161547228425025,-0.05345440451287616,0.3876083703188982,0.009497367312125554,lower
69,0.6066807356920528,-0.0543608544340332,0.39712562223247344,0.009535410264261468,lower
70,0.5971676274475696,-0.05523917374342994,0.40667919084742116,0.00957000307342984,lower
71,0.5876188389120813,-0.05608795054434908,0.4162656283793331,0.009601150729722757,lower
72,0.578037819376802,-0.056905815898449036,0.42588149230686667,0.009628858721151795,lower
73,0.5684280263303193,-0.057691447366795906,0.4355233458216367,0.009653132939306502,lower
74,0.5587929251777962,-0.05844357243555022,0.4451877581854797,0.009673979588831538,lower
75,0.5491359889643631,-0.0591609718118601,0.4548713049992998,0.009691405101500239,lower
76,0.5394606980968439,-0.05984248257596772,0.46457056838848015,0.009705416055639182,lower
77,0.5297705400579792,-0.060487001176053865,0.47428213711057815,0.00971601910163225,lower
78,0.5200690091073601,-0.06109348625292635,0.48400260659174466,0.009723220894196222,lower
79,0.5103596059633987,-0.06166096128229663,0.4937285788989706,0.009727028032076646,lower
80,0.500645837460796,-0.062188517023084366,0.503456662655898,0.009727447005762335,lower
81,0.4909312161781646,-0.06267531376093743,0.5131834729104953,0.009724484153758262,lower
82,0.4812192600306823,-0.06312058333695167,0.5229056309634145,0.009718145627893804,lower
83,0.4715134918229238,-0.0635236309524197,0.5326197641662829,0.009708437368069311,lower
84,0.4618174387573157,-0.06388383674132186,0.5423225056995531,0.00969536508677199,lower
85,0.4521346318939948,-0.06420065710319844,0.5520104943398269,0.009678934263611938,lower
86,0.44246860555821094,-0.06447362579000113,0.561680374226777,0.009659150150042206,lower
87,0.43282289669181195,-0.06470235474151143,0.5713287946399113,0.009636017784343642,lower
88,0.4232010441457583,-0.06488653466492939,0.5809524097954643,0.009609542016866368,lower
89,0.4136065879110545,-0.06502593535527623,0.590547878673644,0.00957972754543207,lower
90,0.40404306828593095,-0.06512040575430877,0.6001118648863284,0.009546578960712593,lower
91,0.3945140249775818,-0.06516987374671547,0.6096410365950692,0.009510100801313592,lower
92,0.38502299613723273,-0.06517434569344151,0.6191320664889556,0.009470297618210444,lower
93,0.37557351732779526,-0.0651339057030753,0.6285816318314901,0.009427174048101838,lower
94,0.3661691204238439,-0.06504871464331147,0.6379864145851593,0.009380734895173048,lower
95,0.3568133324441318,-0.06491900889558656,0.6473431016218362,0.009330985220690091,lower
96,0.3475096743173334,-0.06474509885705275,0.6566483850265394,0.009277930439784199,lower
97,0.3382616595821661,-0.06452736719511426,0.6658989625014046,0.009221576424732758,lower
98,0.3290727930234916,-0.06426626686079054,0.675091537876005,0.009161929613994535,lower
99,0.31994656924643305,-0.0639623188681885,0.6842228217293936,0.009098997126219144,lower
