eta,y_m,chord_m,x_le_m,x_te_m,twist_deg,z_dihedral_m,Re_local
0.0,0.0,2.6,0.0,2.6,-0.0,0.0,8246200.0
0.05,0.425,2.535,0.0903,2.6253,-0.15,0.0297,8040000.0
0.1,0.85,2.47,0.1807,2.6507,-0.3,0.0594,7833900.0
0.15,1.275,2.405,0.271,2.676,-0.45,0.0892,7627700.0
0.2,1.7,2.34,0.3613,2.7013,-0.6,0.1189,7421600.0
0.25,2.125,2.275,0.4517,2.7267,-0.75,0.1486,7215400.0
0.3,2.55,2.21,0.542,2.752,-0.9,0.1783,7009300.0
0.35,2.975,2.145,0.6324,2.7774,-1.05,0.208,6803100.0
0.4,3.4,2.08,0.7227,2.8027,-1.2,0.2378,6597000.0
0.45,3.825,2.015,0.813,2.828,-1.35,0.2675,6390800.0
0.5,4.25,1.95,0.9034,2.8534,-1.5,0.2972,6184700.0
0.55,4.675,1.885,0.9937,2.8787,-1.65,0.3269,5978500.0
0.6,5.1,1.82,1.084,2.904,-1.8,0.3566,5772300.0
0.65,5.525,1.755,1.1744,2.9294,-1.95,0.3863,5566200.0
0.7,5.95,1.69,1.2647,2.9547,-2.1,0.4161,5360000.0
0.75,6.375,1.625,1.355,2.98,-2.25,0.4458,5153900.0
0.8,6.8,1.56,1.4454,3.0054,-2.4,0.4755,4947700.0
0.85,7.225,1.495,1.5357,3.0307,-2.55,0.5052,4741600.0
0.9,7.65,1.43,1.6261,3.0561,-2.7,0.5349,4535400.0
0.95,8.075,1.365,1.7164,3.0814,-2.85,0.5647,4329300.0
1.0,8.5,1.3,1.8067,3.1067,-3.0,0.5944,4123100.0
