station,x_c,y_delta,y_mm,u_Ue,T_Te,T_K,Me_edge,H_shape,H_profile,recovery_r,delta_mm,intermittency_gamma,state
x/c=0.30,0.3,0.051,0.0938,0.0961,1.0533,221.84,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.077,0.1406,0.1432,1.0526,221.71,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.103,0.1875,0.1896,1.0518,221.54,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.128,0.2344,0.2352,1.0508,221.32,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.154,0.2813,0.28,1.0495,221.05,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.179,0.3282,0.324,1.0481,220.75,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.205,0.3751,0.367,1.0465,220.42,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.231,0.4219,0.409,1.0448,220.05,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.256,0.4688,0.45,1.0429,219.65,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.282,0.5157,0.4897,1.0409,219.23,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.308,0.5626,0.5282,1.0388,218.78,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.333,0.6095,0.5653,1.0366,218.32,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.359,0.6564,0.601,1.0343,217.85,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.385,0.7032,0.6352,1.0321,217.38,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.41,0.7501,0.6677,1.0298,216.89,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.436,0.797,0.6987,1.0275,216.42,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
