x_c,arc_s_m,Re_x,Cp,Ue_ms,Ue_Uinf,theta_mm,H_shape,Cf,Re_theta,Re_theta_trans,n_factor,n_crit,intermittency_gamma,state
0.243794,0.510579,1619360.0,-0.16236,132.6826,1.07063,0.21721,2.4575,0.0007487,704.54,,0.0,8.184,0.0,laminar
0.25419,0.531663,1686230.0,-0.16989,133.0715,1.07377,0.22212,2.4611,0.0007267,722.39,,0.0,8.184,0.0,laminar
0.264725,0.553018,1753962.0,-0.1769,133.432,1.07668,0.22706,2.4651,0.0007054,740.26,,0.0037,8.184,0.0,laminar
0.275392,0.574634,1822518.0,-0.18337,133.7641,1.07936,0.23203,2.4695,0.0006848,758.17,,0.0321,8.184,0.0,laminar
0.286186,0.596497,1891858.0,-0.1893,134.0676,1.08181,0.23703,2.4743,0.0006647,776.11,,0.0842,8.184,0.0,laminar
0.297099,0.618595,1961946.0,-0.19468,134.3422,1.08402,0.24208,2.4796,0.0006451,794.11,,0.1594,8.184,0.0,laminar
0.308126,0.640916,2032741.0,-0.19951,134.5878,1.086,0.24717,2.4853,0.000626,812.17,,0.2546,8.184,0.0,laminar
0.31926,0.663449,2104206.0,-0.20377,134.8042,1.08775,0.25232,2.4916,0.0006072,830.31,,0.3694,8.184,0.0,laminar
0.330494,0.68618,2176300.0,-0.20746,134.9913,1.08926,0.25754,2.4985,0.0005888,848.53,,0.5034,8.184,0.0,laminar
0.341823,0.709097,2248984.0,-0.21058,135.149,1.09053,0.26282,2.506,0.0005707,866.84,,0.6557,8.184,0.0,laminar
0.353239,0.732188,2322220.0,-0.21311,135.277,1.09157,0.26817,2.514,0.0005528,885.26,,0.8199,8.184,0.0,laminar
0.364736,0.755441,2395968.0,-0.21506,135.3755,1.09236,0.27361,2.5229,0.0005351,903.81,,0.9917,8.184,0.0,laminar
0.376307,0.778842,2470187.0,-0.21642,135.4443,1.09292,0.27913,2.5325,0.0005176,922.48,,1.1683,8.184,0.0,laminar
0.387947,0.802379,2544840.0,-0.2172,135.4836,1.09323,0.28475,2.5429,0.0005002,941.3,,1.347,8.184,0.0,laminar
0.399647,0.826041,2619885.0,-0.2174,135.4934,1.09331,0.29047,2.5542,0.0004829,960.27,,1.5268,8.184,0.0,laminar
0.411403,0.849814,2695283.0,-0.21701,135.4739,1.09315,0.2963,2.5666,0.0004657,979.42,,1.7182,8.184,0.0,laminar
0.423206,0.873685,2770995.0,-0.21605,135.4253,1.09276,0.30225,2.5797,0.0004486,998.74,,2.0429,8.184,0.0,laminar
0.435051,0.897643,2846980.0,-0.21451,135.3479,1.09214,0.30832,2.5944,0.0004314,1018.26,,2.3861,8.184,0.0,laminar
0.446931,0.921675,2923199.0,-0.21242,135.242,1.09128,0.31451,2.6101,0.0004143,1037.99,,2.7478,8.184,0.0,laminar
0.458839,0.945767,2999611.0,-0.20977,135.1081,1.0902,0.32084,2.6271,0.0003971,1057.94,,3.1261,8.184,0.0,laminar
0.470769,0.969908,3076177.0,-0.20658,134.9465,1.0889,0.32732,2.6461,0.0003797,1078.12,,3.5186,8.184,0.0,laminar
