x_c,y_c,Cp,Vx_ms,Vy_ms,speed_ms
0.29,-0.6,0.03025,122.1948,2.1743,122.2141
0.2975,-0.6,0.02967,122.2276,2.1974,122.2474
0.305,-0.6,0.0291,122.2594,2.2215,122.2795
0.3125,-0.6,0.02856,122.29,2.2466,122.3107
0.32,-0.6,0.02803,122.3196,2.2727,122.3407
0.3275,-0.6,0.02753,122.3479,2.2998,122.3695
0.335,-0.6,0.02704,122.3751,2.3277,122.3972
0.3425,-0.6,0.02658,122.401,2.3565,122.4237
0.35,-0.6,0.02614,122.4257,2.3861,122.4489
0.3575,-0.6,0.02572,122.449,2.4164,122.4729
0.365,-0.6,0.02532,122.4711,2.4475,122.4956
0.3725,-0.6,0.02494,122.4919,2.4792,122.517
0.38,-0.6,0.02459,122.5113,2.5114,122.537
0.3875,-0.6,0.02426,122.5293,2.5442,122.5557
0.395,-0.6,0.02396,122.546,2.5775,122.5731
0.4025,-0.6,0.02368,122.5613,2.6113,122.5891
0.41,-0.6,0.02342,122.5751,2.6454,122.6037
0.4175,-0.6,0.02319,122.5876,2.6799,122.6169
0.425,-0.6,0.02298,122.5986,2.7146,122.6287
0.4325,-0.6,0.0228,122.6083,2.7496,122.6391
0.44,-0.6,0.02264,122.6165,2.7847,122.6481
0.4475,-0.6,0.02251,122.6232,2.82,122.6557
0.455,-0.6,0.0224,122.6286,2.8553,122.6618
0.4625,-0.6,0.02232,122.6325,2.8906,122.6666
0.47,-0.6,0.02226,122.635,2.9259,122.6699
0.4775,-0.6,0.02223,122.6361,2.9611,122.6719
0.485,-0.6,0.02222,122.6359,2.9962,122.6725
0.4925,-0.6,0.02223,122.6342,3.0311,122.6716
0.5,-0.6,0.02227,122.6311,3.0657,122.6694
0.5075,-0.6,0.02233,122.6267,3.1001,122.6659
0.515,-0.6,0.02242,122.621,3.1341,122.661
0.5225,-0.6,0.02253,122.6139,3.1678,122.6548
0.53,-0.6,0.02266,122.6055,3.201,122.6473
0.5375,-0.6,0.02281,122.5958,3.2338,122.6385
0.545,-0.6,0.02299,122.5849,3.266,122.6284
0.5525,-0.6,0.02319,122.5727,3.2977,122.6171
0.56,-0.6,0.02341,122.5593,3.3288,122.6045
0.5675,-0.6,0.02365,122.5447,3.3592,122.5908
0.575,-0.6,0.02391,122.529,3.389,122.5759
0.5825,-0.6,0.02419,122.5121,3.418,122.5598
0.59,-0.6,0.02449,122.4942,3.4463,122.5426
0.5975,-0.6,0.02481,122.4751,3.4738,122.5244
0.605,-0.6,0.02515,122.4551,3.5005,122.5051
0.6125,-0.6,0.02551,122.434,3.5263,122.4848
0.62,-0.6,0.02588,122.412,3.5512,122.4635
0.6275,-0.6,0.02627,122.389,3.5752,122.4413
0.635,-0.6,0.02668,122.3652,3.5982,122.4181
0.6425,-0.6,0.0271,122.3405,3.6203,122.3941
0.65,-0.6,0.02753,122.315,3.6413,122.3692
0.6575,-0.6,0.02798,122.2887,3.6614,122.3435
0.665,-0.6,0.02845,122.2617,3.6803,122.3171
0.6725,-0.6,0.02892,122.234,3.6982,122.2899
0.68,-0.6,0.02941,122.2056,3.7151,122.2621
0.6875,-0.6,0.02991,122.1767,3.7308,122.2336
0.695,-0.6,0.03042,122.1472,3.7453,122.2046
0.7025,-0.6,0.03093,122.1171,3.7588,122.1749
0.71,-0.6,0.03146,122.0866,3.7711,122.1448
0.7175,-0.6,0.032,122.0556,3.7822,122.1142
0.725,-0.6,0.03254,122.0242,3.7921,122.0832
0.7325,-0.6,0.03309,121.9925,3.8009,122.0517
0.74,-0.6,0.03364,121.9605,3.8085,122.02
0.7475,-0.6,0.0342,121.9283,3.8149,121.9879
0.755,-0.6,0.03476,121.8958,3.8201,121.9556
0.7625,-0.6,0.03533,121.8631,3.8241,121.9231
0.77,-0.6,0.0359,121.8303,3.8268,121.8904
0.7775,-0.6,0.03647,121.7975,3.8285,121.8576
0.785,-0.6,0.03704,121.7646,3.8289,121.8248
0.7925,-0.6,0.03762,121.7317,3.8281,121.7919
0.8,-0.6,0.03819,121.6988,3.8261,121.759
0.8075,-0.6,0.03876,121.6661,3.823,121.7261
0.815,-0.6,0.03933,121.6334,3.8187,121.6933
0.8225,-0.6,0.0399,121.6009,3.8133,121.6607
0.83,-0.6,0.04046,121.5687,3.8067,121.6283
0.8375,-0.6,0.04102,121.5367,3.7991,121.596
0.845,-0.6,0.04158,121.5049,3.7903,121.564
0.8525,-0.6,0.04213,121.4735,3.7804,121.5324
0.86,-0.6,0.04268,121.4425,3.7695,121.501
0.8675,-0.6,0.04321,121.4119,3.7575,121.47
0.875,-0.6,0.04375,121.3817,3.7445,121.4394
0.8825,-0.6,0.04427,121.3519,3.7305,121.4092
0.89,-0.6,0.04478,121.3227,3.7155,121.3796
0.8975,-0.6,0.04529,121.294,3.6995,121.3504
0.905,-0.6,0.04579,121.2658,3.6827,121.3217
0.9125,-0.6,0.04627,121.2383,3.6649,121.2936
0.92,-0.6,0.04675,121.2113,3.6463,121.2661
0.9275,-0.6,0.04722,121.185,3.6268,121.2393
0.935,-0.6,0.04767,121.1594,3.6065,121.213
0.9425,-0.6,0.04811,121.1344,3.5855,121.1875
0.95,-0.6,0.04854,121.1102,3.5636,121.1626
0.9575,-0.6,0.04896,121.0867,3.5411,121.1384
0.965,-0.6,0.04937,121.0639,3.5179,121.115
0.9725,-0.6,0.04976,121.0419,3.494,121.0924
0.98,-0.6,0.05014,121.0207,3.4695,121.0705
0.9875,-0.6,0.0505,121.0003,3.4444,121.0494
0.995,-0.6,0.05085,120.9807,3.4188,121.029
1.0025,-0.6,0.05119,120.962,3.3927,121.0096
1.01,-0.6,0.05151,120.9441,3.366,120.9909
1.0175,-0.6,0.05182,120.927,3.3389,120.973
1.025,-0.6,0.05211,120.9107,3.3114,120.9561
1.0325,-0.6,0.05239,120.8953,3.2835,120.9399
1.04,-0.6,0.05266,120.8808,3.2553,120.9246
1.0475,-0.6,0.05291,120.8671,3.2267,120.9102
1.055,-0.6,0.05314,120.8543,3.1979,120.8966
1.0625,-0.6,0.05336,120.8424,3.1688,120.8839
1.07,-0.6,0.05356,120.8313,3.1395,120.872
1.0775,-0.6,0.05375,120.821,3.11,120.8611
1.085,-0.6,0.05393,120.8117,3.0804,120.8509
1.0925,-0.6,0.05409,120.8031,3.0506,120.8416
1.1,-0.6,0.05423,120.7954,3.0207,120.8332
1.1075,-0.6,0.05437,120.7886,2.9908,120.8256
1.115,-0.6,0.05448,120.7826,2.9608,120.8188
1.1225,-0.6,0.05458,120.7773,2.9308,120.8129
1.13,-0.6,0.05467,120.7729,2.9008,120.8078
1.1375,-0.6,0.05475,120.7693,2.8709,120.8035
1.145,-0.6,0.05481,120.7665,2.841,120.7999
1.1525,-0.6,0.05486,120.7645,2.8112,120.7972
1.16,-0.6,0.05489,120.7632,2.7816,120.7952
1.1675,-0.6,0.05491,120.7626,2.752,120.794
1.175,-0.6,0.05492,120.7628,2.7227,120.7935
1.1825,-0.6,0.05492,120.7637,2.6935,120.7937
1.19,-0.6,0.0549,120.7653,2.6645,120.7947
1.1975,-0.6,0.05487,120.7676,2.6357,120.7963
1.205,-0.6,0.05483,120.7705,2.6072,120.7987
1.2125,-0.6,0.05478,120.7741,2.5789,120.8016
1.22,-0.6,0.05472,120.7783,2.5509,120.8053
1.2275,-0.6,0.05464,120.7832,2.5231,120.8095
1.235,-0.6,0.05456,120.7886,2.4957,120.8144
1.2425,-0.6,0.05446,120.7946,2.4686,120.8198
1.25,-0.6,0.05436,120.8012,2.4418,120.8259
1.2575,-0.6,0.05425,120.8083,2.4153,120.8325
1.265,-0.6,0.05412,120.816,2.3892,120.8396
1.2725,-0.6,0.05399,120.8241,2.3634,120.8472
1.28,-0.6,0.05385,120.8328,2.3379,120.8554
1.2875,-0.6,0.0537,120.8419,2.3129,120.864
1.295,-0.6,0.05355,120.8515,2.2882,120.8731
1.3025,-0.6,0.05338,120.8615,2.2639,120.8827
1.31,-0.6,0.05321,120.8719,2.24,120.8926
1.3175,-0.6,0.05303,120.8827,2.2165,120.903
1.325,-0.6,0.05284,120.8939,2.1934,120.9138
1.3325,-0.6,0.05265,120.9055,2.1707,120.925
1.34,-0.6,0.05245,120.9175,2.1484,120.9365
1.3475,-0.6,0.05225,120.9297,2.1265,120.9484
1.355,-0.6,0.05203,120.9423,2.105,120.9606
1.3625,-0.6,0.05182,120.9552,2.084,120.9732
